ChinID	CF_kHz	SpontRate	HearingStatus	thresh_dB	Q10local	TTR_dB	SusRate_g	OnRate_g	SusRate_d	OnRate_d
341	3.659698553	79.8333333333333	NH	20.0870519345621	3.62613640719271	NaN	100	142.5	97.3333333333334	187.5
341	4.225087277	79.8666666666667	NH	7.39975724539807	4.29099061563906	NaN	138.666666666667	237.5	152	307.5
343	5.398813219	36.1666666666667	NH	16.0073211970556	5.88431863267929	NaN	80.7017543859649	197.368421052632	145.614035087719	319.078947368421
343	5.398813219	27	NH	14.2295434192779	6.08636378862841	NaN	80	155	157.333333333333	295
343	4.602549087	23.5666666666667	NH	9.66216035131478	6.53963063054057	NaN	130.666666666667	192.5	173.333333333333	267.5
343	5.402310572	58.9666666666667	NH	18.6289900186279	6.42179722527277	NaN	76	180	120	285
343	5.499387572	52.7333333333333	NH	19.5608241289461	5.65358095492233	NaN	73.3333333333334	195	132	285
343	6.631898869	53.3666666666667	NH	23.290454383924	5.17110242307708	NaN	109.333333333333	232.5	118.666666666667	330
343	6.740776098	27.9	NH	22.9772467579878	5.11546231909294	NaN	102.564102564103	163.461538461538	110.25641025641	302.884615384615
343	7.363506657	13.8333333333333	NH	20.1468848495675	5.10584581340265	NaN	97.3333333333334	180	90.6666666666667	250
346	11.2592202	25.6333333333333	NH	41.072181762647	3.689610428704	NaN	22.6666666666667	15	16	22.5
346	4.290964766	68.4333333333333	NH	14.315050889622	6.48893877047661	NaN	119.047619047619	160.714285714286	104.761904761905	218.75
346	5.207644796	92.8666666666667	NH	19.0408174481133	5.68665612862071	NaN	114.666666666667	120	112	197.5
346	4.062282195	35.6	NH	13.4309203924899	4.69688287236138	51.3013793278725	111.111111111111	218.75	122.222222222222	283.854166666667
346	3.740937317	91.3666666666667	NH	24.9268198337322	3.01764008434659	NaN	104.761904761905	227.678571428571	130.952380952381	218.75
346	3.740937317	32.8666666666667	NH	35.1490420559544	2.88469040610976	NaN	30.6666666666667	77.5	44	110
347	NaN	27.5666666666667	NH	NaN	NaN	NaN	121.333333333333	205	96	255
347	5.306205922	104.133333333333	NH	26.4159525044748	5.3794616251429	34.2973701306928	94.6666666666667	125	102.666666666667	197.5
347	5.116906584	92.1333333333333	NH	28.378927577275	9.07480275303016	39.4205958604377	69.3333333333334	112.5	101.333333333333	202.5
347	4.312711872	104.166666666667	NH	14.8122896680058	6.55044898352799	47.4695591426147	66.6666666666667	175	140	225
347	5.893779628	1.06666666666667	NH	35.9409373614717	2.77378425899669	27.9368997627587	1.33333333333333	0	20	127.5
347	7.069308903	5	NH	41.665696757195	3.88532396004179	32.8993639567804	12	5	8	85
347	6.202516313	11.4	NH	34.2926066427383	6.10252041312959	31.9007388666578	12.9530600118835	35.204991087344	55.7635175282234	222.092245989305
347	4.058838883	5.3	NH	24.1712410200263	3.25464006060507	NaN	76	130	104	202.5
347	3.591779023	72.2333333333333	NH	15.6779622591108	2.17084366098174	NaN	138.666666666667	280	145.333333333333	315
347	4.313194605	75.1	NH	14.1419520069938	4.22154758279569	NaN	121.333333333333	202.5	141.333333333333	287.5
347	4.062282195	75.8	NH	-0.9053304076506	8.91707758411635	NaN	137.333333333333	230	182.666666666667	310
347	3.434560755	44.3	NH	1.62764254898821	6.70709831303401	NaN	173.333333333333	243.75	160	256.25
347	6.102365795	4.03333333333333	NH	18.8788131211768	5.90366298218852	NaN	37.7777777777778	70.8333333333333	108.888888888889	220.833333333333
347	4.572157594	127.033333333333	NH	10.3389939420352	4.6852454283541	NaN	152	185	141.333333333333	257.5
347	4.144501066	91.6666666666667	NH	0.563370857245087	8.04135068440797	NaN	126.388888888889	226.5625	156.944444444444	273.4375
347	4.398241206	69.6333333333333	NH	2.5536991469761	8.27045802453244	NaN	129.166666666667	156.25	131.25	242.1875
347	3.142609215	75.0333333333333	NH	8.30697624228608	6.1331710192377	NaN	161.333333333333	245	164	305
347	3.611934114	84.4333333333333	NH	15.2557684907237	3.22006341807116	NaN	145.333333333333	220	140	250
347	2.933994151	8.4	NH	20.2618735411633	2.47032137838608	NaN	58.6666666666667	127.5	98.6666666666667	220
347	3.002753236	3.73333333333333	NH	22.6165300814018	2.21158260428718	NaN	81.3333333333333	137.5	94.6666666666667	227.5
347	3.819864924	34.5	NH	14.1585150289646	3.6672814906816	NaN	128	192.5	137.333333333333	240
347	3.286942067	0.8	NH	37.7446047955005	2.24825762356392	NaN	28	32.5	65.3333333333333	67.5
347	3.21451726	67.3666666666667	NH	8.19632054594341	5.15389773285876	NaN	96	215	114.666666666667	275
354	2.842273919	80.8666666666667	NH	14.0332335863567	4.38397438361379	NaN	153.030303030303	303.977272727273	186.363636363636	346.590909090909
354	2.781834315	17.0666666666667	NH	26.4327967371338	3.13139184211299	NaN	57.3333333333333	137.5	68	155
354	1.733324597	81.2333333333333	NH	23.1398082509345	2.27509040473008	NaN	120	142.5	86.6666666666667	187.5
354	2.340103181	72.3	NH	30.6368157101809	2.734322023126	NaN	112.121212121212	167.613636363636	103.030303030303	176.136363636364
354	2.651139601	17.5	NH	31.2499137310099	4.90187244534794	34.2576317669804	93.6507936507937	133.928571428571	73.015873015873	142.857142857143
354	2.716035787	17.0666666666667	NH	32.5719062262339	4.01086658406418	27.6533738892719	73.3333333333333	165	77.3333333333333	140
354	1.634220632	12.5	NH	28.5124533962477	2.32756645233068	NaN	58.6666666666667	65	21.3333333333333	110
354	2.524044	75.2333333333333	NH	36.9089630522201	4.9107319448037	NaN	102.666666666667	135	93.3333333333334	132.5
355	5.40285878	88.3333333333333	NH	-12.723751757376	6.9037774690085	74.1610428008634	126.086956521739	160.326086956522	186.95652173913	266.304347826087
355	5.495854974	96.4666666666667	NH	-9.24849752378005	8.93609119652286	78.8584077246027	112	145	116	220
355	5.893779628	64.9333333333333	NH	-16.0026961241544	8.45750823677908	70.5000177208997	98.6666666666667	165	145.333333333333	215
355	7.07337742	28.0666666666667	NH	23.3000873129263	5.22996789275318	NaN	61.3333333333333	37.5	104	170
355	5.499387572	68.3	NH	-10.3789640452586	6.85360507521729	73.0485503895871	106.666666666667	197.5	148	232.5
355	5.796470089	70.7	NH	-14.756078058367	9.09771681024584	70.4521283719074	122.666666666667	187.5	120	225
355	6.631898869	55.1666666666667	NH	19.2761678983667	5.49530531877276	55.8650603165189	97.3333333333334	140	86.6666666666667	242.5
355	5.696465604	1.46666666666667	NH	14.3437771531678	6.46876699402219	NaN	25.3333333333333	25	73.3333333333333	42.5
355	6.740776098	67.0333333333333	NH	26.9066175338693	8.41684174969375	NaN	84	130	112	155
355	8.370108469	67.5666666666667	NH	32.1722657865769	3.72834094560692	NaN	83.5748792270531	95.5615942028985	78.1400966183575	154.211956521739
355	6.311214819	30.2	NH	3.55276703822257	6.11232870798585	NaN	92	117.5	129.333333333333	207.5
355	0.7769109151	62.2666666666667	NH	12.9496065192052	2.18851650725837	37.3959820910121	122.666666666667	127.5	138.666666666667	180
355	5.055757536	44.2	NH	-9.43488547907341	8.78789530939443	NaN	89.3333333333334	70	132	155
355	4.602549087	69.2666666666667	NH	-2.56650645141808	13.2900928634001	NaN	108	120	129.333333333333	185
355	4.427974193	54.1666666666667	NH	32.9301089096999	9.68245122863327	NaN	69.2307692307692	62.5	84.6153846153846	110.576923076923
355	4.780949837	61.1	NH	7.71174992891427	10.300807283559	68.1863230167662	93.3551198257081	121.936274509804	125.708061002179	156.862745098039
355	3.927048211	64.7	NH	0.701515592081154	8.7125243071781	NaN	105.333333333333	145	113.333333333333	267.5
355	4.257209676	18.5666666666667	NH	-7.87255761523078	11.227264214978	NaN	109.090909090909	51.1363636363636	151.515151515151	187.5
355	4.427974193	32.5333333333333	NH	-4.40322442363342	7.42558576867262	NaN	103.703703703704	76.3888888888889	155.555555555556	229.166666666667
355	5.932526157	50.7666666666667	NH	8.88614204841107	5.71780548521759	53.3901421147058	70.6666666666667	125	104	147.5
355	4.602549087	42.5666666666667	NH	-10.7887286736403	5.79745846398737	NaN	160	115	176	312.5
355	4.257209676	9	NH	9.34966460699144	8.61961961439245	NaN	46.6666666666667	55	81.3333333333333	142.5
355	4.427974193	22.4333333333333	NH	-11.5143355347445	7.32721153507074	NaN	114.666666666667	90	166.666666666667	195
355	3.459977433	56.2666666666667	NH	5.65520392160575	7.61670845868568	NaN	129.333333333333	197.5	126.666666666667	270
355	3.2389934	86.6333333333333	NH	5.88945591048494	6.19338824818176	NaN	113.333333333333	137.5	148.888888888889	233.333333333333
355	3.311730946	68.9	NH	6.44717869481942	9.97770449011124	NaN	109.333333333333	190	136	247.5
