UnitID	ChinID	CF_kHz	Threshold_dBSPL	Q10local	Q10global	TTR_dB	SpontRate	HearingStatus	StimSNR	RespCorr	RespCorrRaw	DR_SN	DR_N	DR_SNrelN
343_1_7	343	5.499387572	19.5608241289461	5.65358095492233	5.65358095492232	NaN	52.7333333333333	1	-10	0.00923716053324024	0.00923716053324024	103	93.8000000000001	9.2
343_1_7	343	5.499387572	19.5608241289461	5.65358095492233	5.65358095492232	NaN	52.7333333333333	1	-5	0.0124891124162778	0.0124891124162778	111.2	100.4	10.8
343_1_7	343	5.499387572	19.5608241289461	5.65358095492233	5.65358095492232	NaN	52.7333333333333	1	0	0.00806531045097666	0.00806531045097666	109.6	105.2	4.40000000000002
343_1_9	343	6.631898869	23.290454383924	5.17110242307708	5.17110242307708	NaN	53.3666666666667	1	-10	0.0143764595748016	0.0143764595748016	125.4	115.8	9.59999999999998
343_1_9	343	6.631898869	23.290454383924	5.17110242307708	5.17110242307708	NaN	53.3666666666667	1	-5	0.0110545032342928	0.0110545032342928	115.4	108.8	6.60000000000001
343_1_9	343	6.631898869	23.290454383924	5.17110242307708	5.17110242307708	NaN	53.3666666666667	1	0	0.00726867138650256	0.00726867138650256	114.4	110.6	3.80000000000003
343_1_10	343	6.740776098	22.9772467579878	5.11546231909294	5.11546231909294	NaN	27.9	1	-5	0.001	0.000373229274947984	112.435897435897	109.198717948718	3.23717948717952
343_1_11	343	7.363506657	20.1468848495675	5.10584581340265	5.10584581340264	NaN	13.8333333333333	1	-10	0.00778733615159957	0.00778733615159957	98.0000000000001	88.8000000000001	9.2
343_1_11	343	7.363506657	20.1468848495675	5.10584581340265	5.10584581340264	NaN	13.8333333333333	1	-5	0.00378485712657177	0.00378485712657177	99.0000000000001	97.8000000000001	1.2
343_1_11	343	7.363506657	20.1468848495675	5.10584581340265	5.10584581340264	NaN	13.8333333333333	1	0	0.0118135198326018	0.0118135198326018	103	96.8000000000001	6.20000000000003
346_1_3	346	4.290964766	14.315050889622	6.48893877047661	6.48893877047661	NaN	68.4333333333333	1	0	0.00221697892093427	0.00221697892093427	97.5	92.1428571428572	5.35714285714282
346_1_4	346	5.207644796	19.0408174481133	5.68665612862071	5.68665612862071	NaN	92.8666666666667	1	-5	0.00713160916338115	0.00713160916338115	106.2	100	6.20000000000002
346_1_4	346	5.207644796	19.0408174481133	5.68665612862071	5.68665612862071	NaN	92.8666666666667	1	0	0.0107754266321782	0.0107754266321782	104.8	93.8000000000001	11
346_1_6	346	4.062282195	13.4309203924899	4.69688287236138	4.69688287236138	51.3013793278725	35.6	1	-10	0.00632838524998411	0.00632838524998411	105	99.1666666666667	5.83333333333334
346_1_8	346	3.740937317	24.9268198337322	3.01764008434659	3.0176400843466	NaN	91.3666666666667	1	-10	0.001	-0.0027992384175666	96.25	99.297619047619	1
346_1_8	346	3.740937317	24.9268198337322	3.01764008434659	3.0176400843466	NaN	91.3666666666667	1	-5	0.00337567033920587	0.00337567033920587	110	105.357142857143	4.64285714285714
346_1_8	346	3.740937317	24.9268198337322	3.01764008434659	3.0176400843466	NaN	91.3666666666667	1	0	0.00741211734987587	0.00741211734987587	112.2	104.2	8
346_1_9	346	3.740937317	35.1490420559544	2.88469040610976	2.88469040610977	NaN	32.8666666666667	1	-5	0.001	-0.000240372508361564	42.8	42.6	1
347_1_2	347	5.306205922	26.4159525044748	5.3794616251429	5.3794616251429	34.2973701306928	104.133333333333	1	-10	0.007043567718929	0.007043567718929	111	105	6.00000000000001
347_1_2	347	5.306205922	26.4159525044748	5.3794616251429	5.3794616251429	34.2973701306928	104.133333333333	1	-5	0.00414696502542654	0.00414696502542654	106	100.2	5.8
347_1_2	347	5.306205922	26.4159525044748	5.3794616251429	5.3794616251429	34.2973701306928	104.133333333333	1	0	0.0167768819749398	0.0167768819749398	108.6	91.0000000000001	17.6
347_1_3	347	5.116906584	28.378927577275	9.07480275303016	9.07480275303016	39.4205958604377	92.1333333333333	1	-10	0.00882707154050447	0.00882707154050447	103.8	93.4000000000001	10.4
347_1_3	347	5.116906584	28.378927577275	9.07480275303016	9.07480275303016	39.4205958604377	92.1333333333333	1	-5	0.00643498408930278	0.00643498408930278	98.6000000000001	91.6000000000001	7.00000000000004
347_1_3	347	5.116906584	28.378927577275	9.07480275303016	9.07480275303016	39.4205958604377	92.1333333333333	1	0	0.00818805021170868	0.00818805021170868	101.6	94.4000000000001	7.20000000000002
347_1_4	347	4.312711872	14.8122896680058	6.55044898352799	6.55044898352799	47.4695591426147	104.166666666667	1	-10	0.001	-0.0185950028322728	92.5	110.5	1
347_2_1	347	5.893779628	35.9409373614717	2.77378425899669	2.77378425899669	27.9368997627587	1.06666666666667	1	-10	0.0115891870246346	0.0115891870246346	41.6	29	12.6
347_2_1	347	5.893779628	35.9409373614717	2.77378425899669	2.77378425899669	27.9368997627587	1.06666666666667	1	-5	0.0181590726014421	0.0181590726014421	51	34.8	16.2
347_2_1	347	5.893779628	35.9409373614717	2.77378425899669	2.77378425899669	27.9368997627587	1.06666666666667	1	0	0.025203188139758	0.025203188139758	61.2	36.8	24.4
347_2_2	347	7.069308903	41.665696757195	3.88532396004179	3.88532396004179	32.8993639567804	5	1	0	0.0333423059380713	0.0333423059380713	76.6000000000001	45.4	31.2
347_2_3	347	6.202516313	34.2926066427383	6.10252041312959	3.90712641569871	31.9007388666578	11.4	1	-10	0.00630957695354688	0.00630957695354688	62	55.6	6.39999999999999
347_2_3	347	6.202516313	34.2926066427383	6.10252041312959	3.90712641569871	31.9007388666578	11.4	1	-5	0.0305939948276881	0.0305939948276881	82.1212121212121	59.5142602495543	22.6069518716578
347_2_3	347	6.202516313	34.2926066427383	6.10252041312959	3.90712641569871	31.9007388666578	11.4	1	0	0.0431734150741812	0.0431734150741812	97.4000000000001	69.0000000000001	28.4
